石厂	72	434
常营	731	391
管庄	731	417
顺义	733	183
2号航站楼	733	229
草房	748	391
八里桥	748	417
通州北苑	761	422
物资学院路	763	391
俸伯	764	183
果园	769	430
马各庄	77	614
九棵树	778	439
通州北关	782	395
梨园	787	448
临河里	795	456
通运门	796	408
北运河西	812	422
北运河东	825	422
郝家府	839	422
土桥	841	465
东夏园	853	422
小园	86	434
潞城	867	422
大石河东	92	614
上岸	98	412
栗园庄	98	422
